formula,C,H,N,O,S,molecular_weight,H.C,O.C,N.C,S.C,DBE,DBEO,DBEAI,DBEAImod,NOSC,Gibbs,AI,AImod,KDF_CH2,Y_met,classification,WZ0616E,WZ0714I,WZ0714E,WZ0728E,WZ0811E,WZ0825E,WZ0915E,BJ0613E,QQ0615E,QH0615E,JZ0617E,CS0617E,FS0617E,QQ0627E,QH0629E,JZ0701E,CS0701E,FS0702E,BJ0704E,QH0714E,QH0714I,JZ0715I,JZ0715E,CS0715I,CS0715E,FS0716I,FS0716E,QQ0718I,QQ0718E,BJ0718I,BJ0718E,QH0720E,JZ0729E,FS0729E,QQ0801E,BJ0801E,QH0803E,BJ0815E,QQ0815E,QH0817E,JZ0819E,FS0819E,CS0825E,CS0908E,QQ0913E,BJ0919E,CS0917E,JZ0916E,FS0916E
C49H54O3S2,49,54,0,3,2,754.3514,1.102041,0.06122449,0,0.04081633,23,20,18,19.5,-0.8979592,85.89184,0.4090909,0.4285714,-0.4908786,0.03330696,unsaturated hydrocarbons,0,0.000130141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000334691,0,0,7.42E-05,0,0.000121805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H54O4N4,49,54,4,4,0,762.4145,1.102041,0.08163265,0.08163265,0,25,21,17,19,-0.6938776,80.07551,0.4146341,0.4418605,-0.4368128,0.03660043,unsaturated hydrocarbons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69E-05,0,0,0,0,0,0,0,0,0,0,0,0
C49H54O4S2,49,54,0,4,2,770.3464,1.102041,0.08163265,0,0.04081633,23,19,17,19,-0.8571429,84.72857,0.3953488,0.4222222,-0.5138236,0.03352724,unsaturated hydrocarbons,0,0.000110332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H54O5,49,54,0,5,0,722.3971,1.102041,0.1020408,0,0,23,18,18,20.5,-0.8979592,85.89184,0.4090909,0.4408602,-0.4095101,0.03511772,lignin,0,5.48E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79E-05,0,0,0,5.19E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H54O8,49,54,0,8,0,770.3819,1.102041,0.1632653,0,0,23,15,15,19,-0.7755102,82.40204,0.3658537,0.4222222,-0.4783453,0.03586304,lignin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47E-05,0,0,0,0,0,0,0,5.29E-05,0,0,0,0,0,0,0,0,0
C49H54O9,49,54,0,9,0,786.3768,1.102041,0.1836735,0,0,23,14,14,18.5,-0.7346939,81.23878,0.35,0.4157303,-0.5012903,0.03611856,lignin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H54ON2,49,54,2,1,0,686.4236,1.102041,0.02040816,0.04081633,0,24,23,21,21.5,-0.9387755,87.0551,0.4565217,0.4623656,-0.3428537,0.03497813,unsaturated hydrocarbons,0,0,0,0,0,0,0,0,0,8.03E-05,0,0,0.000104288,5.44E-05,0,0,0,0,0,0,0,0,0.000444333,0,0,0,0,0,0,0,0,0,0,0.000116941,0,0,0,0,7.58E-05,0,0,0,8.24E-05,0,0,0,0,0,0
C49H55O2NS2,49,55,1,2,2,753.3674,1.122449,0.04081633,0.02040816,0.04081633,23,21,18,19,-0.8979592,85.89184,0.4090909,0.4222222,-0.4737958,0.03335341,unsaturated hydrocarbons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H55O3NS2,49,55,1,3,2,769.3623,1.122449,0.06122449,0.02040816,0.04081633,23,20,17,18.5,-0.8571429,84.72857,0.3953488,0.4157303,-0.4967409,0.03357431,unsaturated hydrocarbons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110119,0.00012377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C49H55O7N,49,55,1,7,0,769.3979,1.122449,0.1428571,0.02040816,0,23,16,15,18.5,-0.7755102,82.40204,0.3658537,0.4157303,-0.4612625,0.0359169,lignin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101907,0,0,0,0,8.84E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
