	FS0916E	CS0908E	QQ0718E	CS0617E	JZ0701E	FS0702E	QH0615E	BJ0815E	BJ0613E	FS0617E	FS0716E	WZ0728E	QH0720E	BJ0718E	QQ0627E	QH0714E	CS0715E	FS0729E	JZ0729E	CS0701E	WZ0811E	WZ0825E	FS0819E	QQ0801E	BJ0704E	WZ0616E	JZ0715E	JZ0916E	JZ0617E	QH0803E	CS0825E	QH0817E	QQ0615E	WZ0714E	QQ0913E	QQ0815E	BJ0919E	JZ0819E	BJ0801E	WZ0915E	QH0629E	CS0917E
OTU_3620	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_1755	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
OTU_3608	0	3	0	1	0	0	0	14	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	1	0	1	0	2
OTU_3594	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_715	23	0	0	0	0	0	15	0	0	0	0	0	12	0	0	4	0	21	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU_2304	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_336	31	2	1	3	6	9	10	3	3	7	22	0	15	9	3	13	21	8	8	21	0	0	6	2	2	0	28	0	0	15	3	0	0	0	5	3	5	2	1	0	11	13
OTU_624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0
OTU_753	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU_2046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_2605	0	0	0	0	0	0	0	0	0	0	1	31	2	0	0	0	0	0	15	0	25	13	0	0	0	4	0	1	6	0	0	0	0	7	0	0	0	4	0	23	0	0
OTU_1286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	10	0	0
OTU_1158	0	0	5	1	4	0	0	0	1	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	2	2	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0
OTU_288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0
OTU_1897	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	2	0	10	0	0
OTU_1477	0	0	1	7	2	0	5	0	0	1	1	0	6	1	0	0	16	0	3	8	1	0	0	3	0	1	1	3	1	8	2	0	0	0	15	1	0	0	2	0	8	1
