ZOTU_ID	D00R01	D00R02	D00R03	D00R04	D00R05	D00R06	D03R01	D03R02	D03R03	D03R04	D03R05	D03R06	D06R01	D06R02	D06R03	D06R04	D06R05	D06R06	D09R01	D09R02	D09R03	D09R04	D09R05	D09R06	D12R01	D12R02	D12R03	D12R04	D12R05	D12R06	D24R01	D24R02	D24R03	D24R04	D24R05	D24R06	D48R01	D48R02	D48R03	D48R04	D48R05	D48R06	D96R01	D96R02	D96R03	D96R04	D96R05	D96R06
ZOTU_316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	6	8	0	5	0	1	3	3	0	4	0	0	0	0	0	0	1	16	0	13	5	0	0	24	3	20	9	2
ZOTU_29	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	3	0	164	16	19	76	2	130	76	341	30	69	94	119	94	229	79	109	83	438	409	341	181	206	86
ZOTU_49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	33	87	20	94	96	0	8	148	53	253	77	0	35	134	30	159	67	10
ZOTU_5271	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	6	2	3	2	2	0	2	2	1	7	0	0	7	0	2	10	1	0	5	0	6	8	2	0	3	0	2	2	10
ZOTU_146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	11	0	77	0	0	0	34	0	66	0	0	0	37	14
ZOTU_7221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	1	0	0	0	1	0	1	2	4	1	0	0	2	2	11	0	0	0	2	4
ZOTU_379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0	2	4	1	64	7	2	6	3	5	25	4	1	4	0	0	2	1	0
ZOTU_1079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	8	0	0	13	8	5	9	0	10	6	22	4	12	2	8	11	0	1	9	1
ZOTU_6300	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	3	2	1	1	0	4	17	8	6	0	0	0	12	18	1	0	6	0	2	0	0	0	1
ZOTU_43	1	0	0	0	0	0	0	609	0	3180	82	0	0	61	0	128	1	0	0	76	0	339	0	0	0	33	0	258	4	2	0	28	0	105	4	0	0	13	1	142	6	0	0	5	0	64	0	1
ZOTU_34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	13	135	61	6	159	27	86	360	432	70	506	180	131	332	422	173
ZOTU_3112	0	0	0	0	0	0	14	2	5	4	3	14	0	0	4	1	1	4	4	0	9	0	2	5	6	0	4	0	1	7	0	1	8	0	1	4	6	0	9	0	1	0	7	0	0	0	0	0
ZOTU_14	0	0	0	8	4	0	11940	17135	30	10218	11977	10	225	13	49	21	13	73	170	15	26	30	5	74	298	29	21	31	15	40	489	9	14	7	6	76	514	10	25	14	2	24	683	10	6	11	2	86
ZOTU_5021	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	0	3	0	0	0	7	0	0	0	0	0
ZOTU_7314	0	0	0	0	0	0	16	4	14	3	7	0	0	6	0	6	14	2	2	1	1	4	7	6	2	0	2	2	3	4	0	2	2	0	2	6	5	0	3	7	2	1	3	0	1	0	0	3
ZOTU_117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	1	0	0	1	312	256
ZOTU_92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	340	0	0	2	140	13	81	30
ZOTU_226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	6	0	0	7	10	10	13	0	0	16	18	52
